attributeName	code	definition
Site	CW	rewetted coastal fen
Site	PW	rewetted percolation fen
Subunit	amo-B	subunit b of amo gene
Subunit	amo-C	subunit c of amo gene
month	18-Apr	sample collected April 2018
month	18-Aug	sample collected August 2018
month	18-Jun	sample collected June 2018
month	18-Oct	sample collected October 2018
month	19-Feb	sample collected February 2019
