Sample,KO1287,KO1288,KO1289,KO1356,KO1357,KO1358,KO1359,KO1360,KO1361,KO1362,KO1363,KO1364,KO1365,KO1366,KO1368,KO1377,KO1378,KO1379,KO1381,KO1383,KO1384,KO1385,KO1387,KO1394,KO1395,KO1397,KO1401,KO1402,KO1403
CW2_18-Aug,49313372.41,136981590,186294962.5,0,93147481.23,38354845.21,32875581.61,32875581.61,32875581.61,197253489.7,65751163.22,120543799.2,65751163.22,5479263.602,0,0,0,10958527.2,49313372.41,32875581.61,0,158898644.4,5479263.602,0,5479263.602,0,0,0,0
CW1_18-Oct,4155095.26,7479171.469,24099552.51,831019.0521,4155095.26,4155095.26,4155095.26,831019.0521,4155095.26,30747704.93,12465285.78,7479171.469,7479171.469,3324076.208,0,0,0,0,4155095.26,4986114.312,831019.0521,21606495.35,0,0,0,0,0,0,0
CW2_18-Oct,29655792.91,51897637.59,85260404.61,0,37069741.14,29655792.91,37069741.14,22241844.68,81553430.5,155692912.8,74139482.27,81553430.5,63018559.93,18534870.57,0,3706974.114,74139482.27,3706974.114,11120922.34,0,3706974.114,192762653.9,14827896.45,0,7413948.227,0,0,0,0
CW3_18-Oct,1786385.053,8931925.265,8931925.265,0,10718310.32,3572770.106,3572770.106,1786385.053,26795775.79,41086856.22,33941316.01,14291080.42,19650235.58,1786385.053,0,0,5359155.159,0,1786385.053,1786385.053,3572770.106,46446011.38,1786385.053,0,0,0,0,0,0
PW1_18-Oct,139632555.6,520010896.5,650013620.7,0,202226459.8,24074578.54,33704409.96,19259662.83,308154605.4,1040021793,640383789.3,125187808.4,52964072.8,178151881.2,0,33704409.96,115557977,19259662.83,19259662.83,4814915.709,91483398.46,235930869.7,4814915.709,33704409.96,57778988.5,0,0,0,0
PW3_18-Oct,40494919.78,161979679.1,416519174.8,5784988.539,433874140.4,109914782.2,57849885.39,28924942.7,109914782.2,439659129,300819404,248754507.2,69419862.47,40494919.78,0,11569977.08,92559816.63,17354965.62,5784988.539,5784988.539,156194690.6,121484759.3,23139954.16,0,34709931.24,11569977.08,0,0,0
CW1_19-Feb,6376189.45,40382533.18,63761894.5,0,27630154.28,10626982.42,12752378.9,2125396.483,29755550.76,70138083.94,27630154.28,19128568.35,46758722.63,12752378.9,0,2125396.483,0,0,0,6376189.45,4250792.966,46758722.63,2125396.483,0,0,0,0,0,0
PW1_19-Feb,18055906.54,90279532.72,223893241.1,0,50556538.32,10833543.93,39722994.4,3611181.309,516398927.2,552510740.2,404452306.6,65001263.56,173336702.8,357506949.6,0,65001263.56,173336702.8,43334175.71,10833543.93,14444725.24,166114340.2,314172773.9,0,216670878.5,46945357.01,0,0,0,0
CW3_19-Feb,2635050.523,3952575.785,11857727.35,0,11857727.35,6587626.308,5270101.046,1317525.262,43478333.63,56653586.25,44795858.9,13175252.62,28985555.76,6587626.308,0,0,1317525.262,0,0,3952575.785,0,28985555.76,6587626.308,1317525.262,1317525.262,2635050.523,0,0,0
CW2_19-Feb,2235174.82,2235174.82,20116573.38,0,22351748.2,13411048.92,11175874.1,6705524.459,67055244.59,58114545.31,33527622.3,17881398.56,46938671.21,11175874.1,0,0,4470349.639,0,2235174.82,6705524.459,2235174.82,64820069.77,4470349.639,2235174.82,0,0,0,0,0
PW2_19-Feb,18046559.36,115497979.9,122716603.7,0,83014173.07,18046559.36,18046559.36,3609311.873,205730776.7,191293529.2,176856281.8,43311742.47,68576925.58,147981786.8,0,25265183.11,90232796.81,10827935.62,83014173.07,86623484.94,79404861.2,137153851.2,36093118.73,36093118.73,21655871.24,0,0,0,0
PW3_19-Feb,9283623.547,111403482.6,287792330,13925435.32,227448776.9,60343553.06,60343553.06,32492682.41,218165153.4,287792330,208881529.8,97478047.24,69627176.6,176388847.4,0,18567247.09,129970729.7,13925435.32,69627176.6,51059929.51,60343553.06,139254353.2,41776305.96,37134494.19,32492682.41,9283623.547,0,0,0
