"","taxID","taxonomy","genome","Kingdom","Clade","Superphylum","Phylum","Class","Order","Family","Genus","Species","Sample","Abundance","Date","Site","Subsample"
"17","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"CW1_18-Aug",0,"18-Aug","CW","CW1"
"18","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"CW2_18-Aug",0,"18-Aug","CW","CW2"
"19","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"CW1_18-Oct",0,"18-Oct","CW","CW1"
"20","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"CW2_18-Oct",0,"18-Oct","CW","CW2"
"21","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"CW3_18-Oct",24429308.6409467,"18-Oct","CW","CW3"
"22","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"PW1_18-Oct",2513963147.82692,"18-Oct","PW","PW1"
"23","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"PW3_18-Oct",0,"18-Oct","PW","PW3"
"24","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"CW1_19-Feb",0,"19-Feb","CW","CW1"
"25","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"PW1_19-Feb",613093911.248709,"19-Feb","PW","PW1"
"26","taxa38434","Main genome;Archaea;Archaea (superkingdom);TACK;Thaumarchaeota;Nitrososphaeria;Ca. Nitrosopumilales;","Main genome","Archaea","Archaea (superkingdom)","TACK","Thaumarchaeota","Nitrososphaeria","Ca. Nitrosopumilales",NA,NA,NA,"CW3_19-Feb",0,"19-Feb","CW","CW3"
